candles

open;close;high;low;value;volume;begin;end
17.94;18.54;21.23;14.91;0;0;2017-12-01 00:00:00;2017-12-29 00:00:00
16.66;17.83;21.47;14.35;0;0;2017-11-01 00:00:00;2017-11-30 00:00:00
17.46;17.07;18.28;13.8;0;0;2017-10-01 00:00:00;2017-10-31 00:00:00
19.84;17.9;21.34;15.92;0;0;2017-09-01 00:00:00;2017-09-30 00:00:00
22.96;19.8;23.5;17.88;0;0;2017-08-01 00:00:00;2017-08-31 00:00:00
22.27;22.64;25.45;18.38;0;0;2017-07-01 00:00:00;2017-07-31 00:00:00
25.8;22.55;30.92;21.29;0;0;2017-06-01 00:00:00;2017-06-30 00:00:00
22.11;25.93;27.41;21.01;0;0;2017-05-01 00:00:00;2017-05-31 00:00:00
24.07;22.47;26.9;21.72;0;0;2017-04-01 00:00:00;2017-04-30 00:00:00
27.23;23.97;29.38;20.19;0;0;2017-03-01 00:00:00;2017-03-31 00:00:00
23.98;27.35;27.58;21.51;0;0;2017-02-01 00:00:00;2017-02-28 00:00:00
26.23;23.57;27.95;20.33;0;0;2017-01-01 00:00:00;2017-01-31 00:00:00
23.41;26.47;27.25;19.7;0;0;2016-12-01 00:00:00;2016-12-31 00:00:00
24.12;23.64;31.69;22.46;0;0;2016-11-01 00:00:00;2016-11-30 00:00:00
25.51;24.09;27.99;22.44;0;0;2016-10-01 00:00:00;2016-10-31 00:00:00
28.08;25.83;33.55;20.59;0;0;2016-09-01 00:00:00;2016-09-30 00:00:00
25.01;28.08;30.68;24.67;0;0;2016-08-01 00:00:00;2016-08-31 00:00:00
34.42;24.97;35.78;24.72;0;0;2016-07-01 00:00:00;2016-07-31 00:00:00
33.61;34.18;40.74;30.76;0;0;2016-06-01 00:00:00;2016-06-30 00:00:00
35.56;33.63;37.77;31.25;0;0;2016-05-01 00:00:00;2016-05-31 00:00:00
35.52;35.33;41.76;31.41;0;0;2016-04-01 00:00:00;2016-04-30 00:00:00
43.53;34.39;46.72;33.41;0;0;2016-03-01 00:00:00;2016-03-31 00:00:00
41.18;43.25;49.16;39.02;0;0;2016-02-01 00:00:00;2016-02-29 00:00:00
37.36;41.2;56.32;36.95;0;0;2016-01-01 00:00:00;2016-01-31 00:00:00
37.56;36.23;46.83;29.5;0;0;2015-12-01 00:00:00;2015-12-31 00:00:00
36.42;38.23;39.21;33.07;0;0;2015-11-01 00:00:00;2015-11-30 00:00:00
38.55;36.4;43.04;31.38;0;0;2015-10-01 00:00:00;2015-10-31 00:00:00
39.86;37.87;46.92;34.27;0;0;2015-09-01 00:00:00;2015-09-30 00:00:00
33.15;40.17;51.69;32.29;0;0;2015-08-01 00:00:00;2015-08-31 00:00:00
34.77;32.96;40.83;26.88;0;0;2015-07-01 00:00:00;2015-07-31 00:00:00
36.47;35.25;44.66;31.43;0;0;2015-06-01 00:00:00;2015-06-30 00:00:00
35.41;36.12;41.17;30.34;0;0;2015-05-01 00:00:00;2015-05-31 00:00:00
41.97;35.6;45.62;34.08;0;0;2015-04-01 00:00:00;2015-04-30 00:00:00
50.32;43.49;56.69;39.6;0;0;2015-03-01 00:00:00;2015-03-31 00:00:00
64.14;49.6;66.94;45.32;0;0;2015-02-01 00:00:00;2015-02-28 00:00:00
67.19;63.37;78.67;49.49;0;0;2015-01-01 00:00:00;2015-01-31 00:00:00
37.72;66.2;121.41;36.45;0;0;2014-12-01 00:00:00;2014-12-31 00:00:00
31.83;37.62;42.52;31.43;0;0;2014-11-01 00:00:00;2014-11-30 00:00:00
30.98;31.91;37.09;29.51;0;0;2014-10-01 00:00:00;2014-10-31 00:00:00
34.71;31.4;36.89;28.25;0;0;2014-09-01 00:00:00;2014-09-30 00:00:00
36.57;35.02;41.62;29.98;0;0;2014-08-01 00:00:00;2014-08-31 00:00:00
31.1;35.83;38.53;25.65;0;0;2014-07-01 00:00:00;2014-07-31 00:00:00
28.1;30.31;30.65;24.62;0;0;2014-06-01 00:00:00;2014-06-30 00:00:00
41.1;27.81;43.91;27.16;0;0;2014-05-01 00:00:00;2014-05-31 00:00:00
38.97;41.35;49.11;32.88;0;0;2014-04-01 00:00:00;2014-04-30 00:00:00
28.35;38.84;70.63;27.88;0;0;2014-03-01 00:00:00;2014-03-31 00:00:00
27.47;28.38;29.84;24.37;0;0;2014-02-01 00:00:00;2014-02-28 00:00:00
20.47;27.48;29.04;17.18;0;0;2014-01-01 00:00:00;2014-01-31 00:00:00
23.83;20.48;26.49;17.33;0;0;2013-12-01 00:00:00;2013-12-30 00:00:00
23.8;23.8;24.43;20.98;0;0;2013-11-01 00:00:00;2013-11-30 00:00:00


