TRADEDATE;CLOSE;OPEN;HIGH;LOW
18.11.2013;21,84;23,8;23,87;21,77
19.11.2013;22,49;21,83;22,74;20,98
20.11.2013;22,77;22,48;22,98;22,28
21.11.2013;21,89;22,75;23;21,77
22.11.2013;21,85;21,86;22,22;21,16
25.11.2013;21,64;21,85;22,51;21,57
26.11.2013;21,87;21,58;22,39;21,11
27.11.2013;23,41;21,86;23,41;21,17
28.11.2013;23,49;23,39;24,15;22,72
29.11.2013;23,8;23,5;24,43;23,07
02.12.2013;24,59;23,83;24,9;22,73
03.12.2013;25,24;24,59;26,49;24,1
04.12.2013;25,9;25,25;26,08;24,3
05.12.2013;26,15;25,89;26,26;24,26
06.12.2013;24,36;26,07;26,16;23,93
09.12.2013;23,85;24,35;25,82;23,01
10.12.2013;24,09;23,65;24,67;22,93
11.12.2013;23,56;24,09;24,79;22,5
12.12.2013;23,45;23,61;25,95;23,1
13.12.2013;22,64;23,45;24,84;22
16.12.2013;22,43;22,64;24,25;22,06
17.12.2013;19,99;22,42;22,55;19,72
18.12.2013;20,8;19,99;21,07;19,87
19.12.2013;19,47;20,82;22,48;19,28
20.12.2013;18,04;19,5;19,52;17,45
23.12.2013;18,36;17,93;19,29;17,5
24.12.2013;17,75;18,36;18,89;17,33
25.12.2013;18,94;17,7;19,37;17,61
26.12.2013;19,6;18,94;20,6;18,76
27.12.2013;19,36;19,6;20,58;18,97
30.12.2013;20,48;19,36;21,31;19,22
06.01.2014;22,7;20,47;23,05;20,36
08.01.2014;19,4;22,69;22,96;18,79
09.01.2014;18,85;19,53;23,19;18,51
10.01.2014;20,56;18,83;20,58;17,18
13.01.2014;20,07;20,42;21,16;19,02
14.01.2014;21,2;20,07;21,49;18,65
15.01.2014;21,14;21,22;21,46;20,16
16.01.2014;20,36;21,2;21,42;19,67
17.01.2014;20,34;20,36;20,85;19,62
20.01.2014;20,98;20,31;21,66;19,81
21.01.2014;21,14;20,99;21,58;20,73
22.01.2014;20,49;21,14;21,28;20,2
23.01.2014;20,24;20,48;21,23;20,17
24.01.2014;22;20,18;22,09;20,12
27.01.2014;24,24;22,04;24,49;21,84
28.01.2014;24,33;24,26;24,71;23,48
29.01.2014;28,16;24,33;28,73;24,04
30.01.2014;25,2;28,16;29,04;25,11
31.01.2014;27,48;25,26;27,59;24,43
03.02.2014;28,55;27,47;29,08;25,79
04.02.2014;27,74;28,53;29,84;26,87
05.02.2014;25,59;27,76;28,08;25,38
06.02.2014;25,01;25,58;26,77;24,48
07.02.2014;25,03;25,02;25,4;24,46
10.02.2014;25,47;25,04;26,09;24,46
11.02.2014;25,2;25,43;25,8;24,37
12.02.2014;25,03;25,22;25,92;24,49
13.02.2014;25,23;25,03;25,53;24,6
14.02.2014;26,01;25,21;26,42;24,63
17.02.2014;26,8;25,99;26,86;25,5
18.02.2014;26,29;26,77;27,07;26,18
19.02.2014;26,12;26,29;26,35;25,36
20.02.2014;27,41;26,12;27,69;26,12
21.02.2014;25,97;27,42;27,49;25,75
24.02.2014;25,64;25,95;26,62;25,22
25.02.2014;26,54;25,63;27,1;25,03
26.02.2014;25,84;26,55;26,8;25,41
27.02.2014;27,69;25,81;28,05;25,05
28.02.2014;28,38;27,7;29,35;26,82
03.03.2014;57,18;28,35;60,67;27,88
04.03.2014;51,05;57,24;63,36;50,45
05.03.2014;43,63;51,04;51,1;43,63
